,ente,população,estado_do_processo,data_adesao
,Mutuípe,22.998 , 1 ,19/4/2013
,Nazaré,29.546 , 1 ,3/12/2013
,Nilo Peçanha,14.368 , - , - 
,Nordestina,13.597 , 1 ,3/6/2013
,Nova Canaã,17.141 , 1 ,23/2/2015
,Nova Fátima,8.119 , 1 ,12/8/2014
,Nova Ibiá,6.986 , 1 ,17/9/2015
,Nova Itarana,8.428 , - , - 
,Nova Redenção,9.500 , - , - 
,Nova Soure,25.460 , 1 ,3/12/2013
,Nova Viçosa,44.052 , - , - 
,Novo Horizonte,12.514 , - , - 
,Novo Triunfo,16.037 , - , - 
,Olindina,29.227 , - , - 
,Oliveira dos Brejinhos,22.805 , - , - 
,Ouriçangas,8.916 , - , - 
,Ourolândia,18.025 , - , - 
,Palmas de Monte Alto,22.553 , - , - 
,Palmeiras,9.250 , 1 ,7/5/2014
,Paramirim,22.286 , 1 ,13/10/2017
,Paratinga,32.967 , 1 ,22/3/2017
,Paripiranga,30.075 , - , - 
,Pau Brasil,10.673 , - , - 
,Paulo Afonso,120.706 , 1 ,3/12/2013
,Pé de Serra,14.226 , 1 ,15/1/2014
,Pedrão,7.527 , 1 ,22/7/2013
,Pedro Alexandre,18.209 , - , - 
,Piatã,18.267 , - , - 
,Pilão Arcado,35.740 , - , - 
,Pindaí,16.889 , - , - 
,Pindobaçu,21.171 , 1 ,14/12/2017
,Pintadas,11.012 , 1 ,12/2/2014
,Piraí do Norte,10.411 , - , - 
,Piripá,11.849 , - , - 
,Piritiba,25.211 , 1 ,15/1/2014
,Planaltino,9.582 , 1 ,18/6/2013
,Planalto,26.915 , 1 ,24/5/2017
,Poções,48.861 , - , - 
,Pojuca,39.718 , 1 ,26/2/2014
,Ponto Novo,15.830 , - , - 
,Porto Seguro,149.324 , 1 ,12/4/2013
,Potiraguá,8.438 , 1 ,21/6/2016
,Prado,29.326 , 1 ,3/7/2014
,Presidente Dutra,15.734 , - , - 
,Presidente Janio Quadros,13.334 , - , - 
,Presidente Tancredo Neves,28.082 , - , - 
,Queimadas,26.552 , 1 ,7/5/2014
,Quijingue,28.632 , 1 ,4/4/2016
,Quixabeira,9.411 , 1 ,16/5/2017
,Rafael Jambeiro,23.562 , - , - 
,Remanso,42.672 , 1 ,29/7/2013
,Retirolândia,14.730 , - , - 
,Riachão das Neves,23.313 , - , - 
,Riachão do Jacuípe,34.784 , 1 ,26/2/2014
,Riacho do Santana,36.439 , - , - 
,Ribeira do Amparo,15.443 , 1 ,25/11/2013
,Ribeira do Pombal,54.965 , 1 ,3/5/2013
,Ribeirão do Largo,7.437 , - , - 
,Rio de Contas,13.712 , 1 ,14/6/2013
,Rio do Antônio,15.804 , - , - 
,Rio do Pires,12.130 , - , - 
,Rio Real,41.767 , 1 ,14/8/2013
,Rodelas,9.405 , - , - 
,Ruy Barbosa,32.009 , 1 ,30/7/2014
,Salinas da Margarida,15.772 , 1 ,3/5/2013
,Santa Bárbara,21.415 , 1 ,3/7/2014
,Santa Brígida,14.976 , 1 ,7/8/2013
,Santa Cruz Cabrália,28.552 , 1 ,22/7/2013
,Santa Cruz da Vitória,6.698 , - , - 
,Santa Ines,11.161 , 1 ,3/6/2013
,Santa Luzia,13.398 , - , - 
,Santa Maria da Vitória,41.769 , 1 ,3/12/2013
,Santa Rita de Cássia,29.146 , - , - 
,Santa Teresinha,10.682 , 1 ,3/12/2013
,Santaluz,38.422 , - , - 
,Santana,27.492 , 1 ,23/6/2017
,Santanópolis,9.263 , 1 ,30/10/2013
,Santo Amaro,61.961 , 1 ,13/12/2013
,Santo Antônio de Jesus,103.342 , 1 ,7/8/2013
,Santo Estevão,53.898 , 1 ,27/7/2015
,São Desidério,33.661 , 1 ,12/4/2013
,São Domingos,9.404 , 1 ,22/1/2013
,São Felipe,15.310 , 1 ,3/5/2013
,São Félix,15.825 , - , - 
,São Félix do Coribe,21.964 , 1 ,3/12/2013
,São Francisco do Conde,40.220 , 1 ,19/4/2013
,São Gabriel,19.613 , 1 ,3/5/2013
,São Gonçalo dos Campos,38.018 , 1 ,25/11/2013
,São José da Vitória,6.045 , - , - 
,São José do Jacuípe,10.784 , - , - 
,São Miguel das Matas,12.092 , - , - 
,São Sebastião do Passé,45.827 , 1 ,3/12/2013
,Sapeaçu,18.114 , 1 ,3/6/2013
,Sátiro Dias,20.429 , 1 ,13/12/2013
,Saubara,12.380 , - , - 
,Saúde,13.385 , 1 ,3/6/2013
,Seabra,45.568 , - , - 
,Sebastião Laranjeiras,11.696 , - , - 
