NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Santa Isabel do Rio Negro,1303601,santa-isabelense,ARAILDO MENDES DO NASCIMENTO,62800079,24436,0.29,479,36083,36388,5558.32,
Santo Antônio do Içá,1303700,santoense,ABRAÃO MAGALHÃES LASMAR,12366143,21966,1.99,490,58698,55183,6887.79,
São Gabriel da Cachoeira,1303809,são-gabrielense,CLOVIS MOREIRA SALDANHA,109181240,44816,0.35,609,86868,80003,6184.50,
São Paulo de Olivença,1303908,paulivense,PAULO DE OLIVEIRA MAFRA,19658502,38515,1.59,521,70201,63593,5500.85,
São Sebastião do Uatumã,1303957,uatumaense,FERNANDO FALABELLA,10647463,13685,1.00,577,26053,22148,7232.53,
Silves,1304005,silvense,ARISTIDES QUEIROZ DE OLIVEIRA NETO,3723382,9110,2.25,632,26157,21525,10712.82,
Tabatinga,1304062,tabatinguense,SAUL NUNES BEMERGUY,3266062,64488,16.21,616,111042,98245,6651.46,
Tapauá,1304104,tapauense,JOSÉ BEZERRA GUEDES,84946166,17299,0.21,502,47353,27471,12019.31,
Tefé,1304203,tefeense,NORMANDO BESSA DE SA,23692223,60154,2.59,639,142249,134281,10450.25,
Tonantins,1304237,tonantinense,LAZARO DE SOUZA MARTINS,6446894,18610,2.66,548,44854,39604,6273.39,
Uarini,1304260,uarinense,ANTONIO WALDETRUDES UCHOA DE BRITO,10274677,13387,1.16,527,36759,34568,13244.83,
Urucará,1304302,urucaraense,ENRICO DE SOUZA FALABELLA,27903534,16383,0.61,620,48233,39612,17378.65,
Urucurituba,1304401,urucuritubense,JOSE CLAUDENOR DE CASTRO PONTES,2886494,22537,6.14,588,40807,37492,5634.25,
Abaíra,2900108,abairense,EDVAL LUZ SILVA,538677,8767,15.68,603,19331,18286,6982.70,
Abaré,2900207,abareense,FERNANDO JOSE TEIXEIRA TOLENTINO,1604923,19814,11.49,575,42471,42836,6256.80,
Acajutiba,2900306,acajutibense,ALEXSANDRO MENEZES DE FREITAS,181475,15129,81.34,582,32322,31258,7305.15,
Adustina,2900355,adustinense,PAULO SERGIO OLIVEIRA DOS SANTOS,632139,16784,24.84,546,33519,29164,5881.41,
Água Fria,2900405,água-friense,MANOEL ALVES DOS SANTOS,743014,16901,23.77,550,40464,39741,7955.78,
